folder,file,genre,game,label key
Football,1.png,Football / Soccer,FIFA 06,0
Football,2.png,Football / Soccer,FIFA 06,0
Football,3.png,Football / Soccer,FIFA 06,0
Football,4.png,Football / Soccer,FIFA 06,0
Football,5.png,Football / Soccer,FIFA 06,0
Football,6.png,Football / Soccer,FIFA 06,0
Football,7.png,Football / Soccer,FIFA 06,0
Football,8.png,Football / Soccer,FIFA 06,0
Football,9.png,Football / Soccer,FIFA 06,0
Football,10.png,Football / Soccer,FIFA 06,0
Football,11.png,Football / Soccer,FIFA 06,0
Football,12.png,Football / Soccer,FIFA 06,0
Football,13.png,Football / Soccer,FIFA 06,0
Football,14.png,Football / Soccer,FIFA 06,0
Football,15.png,Football / Soccer,FIFA 06,0
Football,16.png,Football / Soccer,FIFA 06,0
Football,17.png,Football / Soccer,FIFA 06,0
Football,18.png,Football / Soccer,FIFA 06,0
FPS,1.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,2.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,3.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,4.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,5.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,6.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,7.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,8.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,9.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,10.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,11.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,12.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,13.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,14.png,First-Person Shooter,Call of Duty Black Ops,1
FPS,15.png,First-Person Shooter,Call of Duty Modern Warfare 3,1
FPS,16.png,First-Person Shooter,Call of Duty Modern Warfare 3,1
FPS,17.png,First-Person Shooter,Call of Duty Modern Warfare 3,1
FPS,18.png,First-Person Shooter,Call of Duty Modern Warfare 3,1
2D_Platformer,1.png,2D Platformer,DuckTales Remastered,2
2D_Platformer,2.png,2D Platformer,DuckTales Remastered,2
2D_Platformer,3.png,2D Platformer,DuckTales Remastered,2
2D_Platformer,4.png,2D Platformer,DuckTales Remastered,2
2D_Platformer,5.png,2D Platformer,DuckTales Remastered,2
2D_Platformer,6.png,2D Platformer,DuckTales Remastered,2
2D_Platformer,7.png,2D Platformer,DuckTales Remastered,2
